ID,timestamp_start,timestamp_stop
1,0.546,3.294
10,0.098,2.035
100,0.130,2.707
101,0.194,3.693
102,0.130,3.085
103,0.130,3.838
104,0.098,1.278
104,1.602,2.669
105,0.130,4.574
105,4.674,5.523
106,0.162,3.526
107,0.130,3.162
108,0.130,1.406
108,1.730,2.989
109,0.162,3.942
11,0.226,3.046
110,0.098,4.320
111,0.226,3.198
112,0.130,2.910
113,0.258,3.486
114,0.098,1.534
115,0.130,2.878
116,0.130,2.942
117,0.162,2.814
118,0.162,2.784
119,0.162,3.966
12,0.130,2.483
120,0.162,2.944
121,0.194,3.290
122,0.546,3.328
123,0.418,3.296
124,0.290,5.197
125,0.130,3.603
126,0.098,2.558
127,0.162,2.259
128,0.098,2.381
129,0.162,3.437
13,0.098,3.834
130,0.130,3.398
131,0.226,3.322
132,0.162,2.558
133,0.130,2.829
134,0.162,1.694
135,0.098,3.526
136,0.162,3.302
137,0.226,3.680
138,0.130,3.290
139,0.130,2.624
14,0.130,2.797
140,0.322,2.586
141,0.162,3.091
142,0.130,2.846
143,0.130,3.994
144,0.130,1.498
145,0.194,1.726
146,0.130,2.573
147,0.130,1.918
147,2.050,3.213
148,0.130,2.605
149,0.226,4.326
15,0.130,4.198
150,0.194,3.038
151,0.162,3.162
152,0.130,2.598
153,0.098,1.598
154,0.130,4.032
155,0.130,1.662
155,1.826,2.669
156,0.354,2.554
157,0.194,2.854
158,0.130,1.677
159,0.130,4.371
16,0.130,2.157
160,0.130,2.733
17,0.290,2.682
18,0.098,2.426
19,0.226,2.138
2,0.130,2.509
20,0.194,1.965
21,0.226,3.366
22,0.130,2.829
23,0.258,2.758
24,0.098,4.762
25,0.546,2.253
26,0.130,2.246
27,0.162,2.893
28,0.130,2.701
29,0.130,3.770
3,0.514,4.301
30,0.546,3.162
31,0.194,2.944
32,0.130,2.387
33,0.130,3.418
34,0.130,1.434
35,0.194,2.189
36,0.226,2.336
37,0.130,2.317
38,0.130,2.176
39,0.226,2.874
4,0.514,4.211
40,0.162,2.618
41,0.194,3.226
42,0.258,3.117
43,0.162,2.654
44,0.546,4.915
45,0.578,2.854
46,0.130,2.445
47,0.098,3.155
48,0.098,2.406
49,0.162,2.656
5,0.130,2.752
50,0.098,3.558
51,0.226,3.494
52,0.130,3.098
53,0.194,2.398
53,2.498,4.800
54,0.130,4.506
55,0.194,2.238
56,0.194,1.965
57,0.130,2.462
58,0.130,2.110
59,0.130,2.846
6,0.130,2.067
60,0.194,2.974
61,0.194,3.130
62,0.130,2.750
63,0.130,2.848
64,0.194,3.258
65,0.162,2.560
66,0.226,2.355
67,0.098,3.021
68,0.258,2.496
69,0.130,4.045
7,0.194,2.010
70,0.098,1.946
71,0.194,3.040
72,0.130,2.622
73,0.322,3.283
74,0.130,4.096
75,0.194,2.547
76,0.130,1.946
77,0.098,2.765
78,0.162,2.560
79,0.130,2.899
8,0.130,2.846
80,0.130,3.104
81,0.162,3.763
82,0.098,2.790
83,0.130,4.806
84,0.162,2.643
85,0.162,4.698
86,0.162,2.534
87,0.162,3.315
88,0.130,2.874
89,0.098,2.278
9,0.130,2.266
90,0.162,2.701
91,0.162,3.309
92,0.226,2.846
93,0.130,3.162
94,0.130,1.696
95,0.162,2.718
95,2.850,4.762
96,0.418,2.771
97,0.162,1.950
97,2.082,2.814
97,2.914,4.286
98,0.290,2.110
99,0.226,4.019
